id;description;file_name;period_from;period_to;payments_file_type_id;data_file;data_file_content_type;upload_successful;upload_processed;upload_token
1;feed Iowa Usability;Savings Account user-centric;2021-08-22;2021-08-23;70499;../fake-data/blob/hipster.png;image/png;true;true;Frozen Wyoming Turks and Caicos Islands
2;Meadows;online Toys;2021-08-23;2021-08-23;16514;../fake-data/blob/hipster.png;image/png;true;false;front-end Networked generating
3;EXE hard drive;calculating;2021-08-22;2021-08-22;25300;../fake-data/blob/hipster.png;image/png;true;false;Division
4;Designer Taiwan Baby;Chicken Central Total;2021-08-22;2021-08-23;16097;../fake-data/blob/hipster.png;image/png;true;false;calculate synergy
5;innovate copy;Officer emulation cross-media;2021-08-23;2021-08-22;79984;../fake-data/blob/hipster.png;image/png;false;true;AGP Research Avon
6;Cotton cross-platform;aggregate;2021-08-23;2021-08-23;2793;../fake-data/blob/hipster.png;image/png;false;false;Handcrafted Cotton Bacon Gambia
7;back up;Credit Card Account grey;2021-08-23;2021-08-23;85936;../fake-data/blob/hipster.png;image/png;false;true;Avon Dynamic
8;sticky;methodologies Supervisor;2021-08-23;2021-08-22;97962;../fake-data/blob/hipster.png;image/png;false;false;real-time Compatible deposit
9;zero tolerance pricing structure;Investment Account firewall sexy;2021-08-23;2021-08-22;98725;../fake-data/blob/hipster.png;image/png;false;true;knowledge user
10;Developer navigating;discrete orchestrate;2021-08-23;2021-08-23;66313;../fake-data/blob/hipster.png;image/png;true;false;Investment Account Supervisor Kids
