id;payments_category;transaction_number;transaction_date;transaction_currency;transaction_amount;beneficiary
1;Soap Guernsey;hacking haptic;2021-08-22;Checking Account;16066;Wooden
2;harness solid state;overriding back up;2021-08-21;implementation copy;77152;Fish
3;Infrastructure Automotive PNG;Avon;2021-08-22;Wooden Keyboard Plastic;37440;Baby Singapore Dollar
4;Berkshire;Functionality;2021-08-21;transmit;38933;Route
5;Gorgeous Soft Hat;Key;2021-08-21;Accountability;52285;compressing leading edge
6;red viral French Polynesia;Legacy United States Minor Outlying Islands Designer;2021-08-22;1080p fuchsia whiteboard;5026;Nuevo Sol exploit Table
7;Rubber;Monitored Kentucky SDD;2021-08-21;Metrics connecting Awesome Rubber Fish;83534;withdrawal incubate
8;Beauty;deposit connecting Kids;2021-08-21;SMTP scalable protocol;94315;optical reboot target
9;multi-state Table;South Carolina discrete;2021-08-22;mobile Intelligent Rubber Chair wireless;10573;Buckinghamshire
10;Saint Helena feed;methodology Intelligent Frozen Shirt;2021-08-21;Fantastic;58112;invoice Administrator EXE
